TTC_LIDAR,TTC_CAMERA_SHITOMASI_BRISK,TTC_CAMERA_SHITOMASI_BRIEF,TTC_CAMERA_SHITOMASI_ORB,TTC_CAMERA_SHITOMASI_FREAK,TTC_CAMERA_FAST_BRISK,TTC_CAMERA_FAST_BRIEF,TTC_CAMERA_FAST_ORB,TTC_CAMERA_FAST_FREAK,TTC_CAMERA_BRISK_BRISK,TTC_CAMERA_BRISK_BRIEF,TTC_CAMERA_BRISK_ORB,TTC_CAMERA_BRISK_FREAK,TTC_CAMERA_ORB_BRIEF,TTC_CAMERA_AKAZE_BRIEF,TTC_CAMERA_AKAZE_ORB,TTC_CAMERA_AKAZE_FREAK,TTC_CAMERA_AKAZE_AKAZE,TTC_CAMERA_SIFT_BRISK,TTC_CAMERA_SIFT_BRIEF,TTC_CAMERA_SIFT_FREAK
12.51,12.5,13.99,13.7,12.52,11.66,12.18,11.75,8.46,11.06,15.15,18.45,14.41,15.04,13.58,11.92,11.8,12.65,13.15,11.41,16.92
11.51,12.92,14.97,12.66,14.34,11.76,12.65,22.33,12.18,23.51,12.9,20.28,16.33,11.76,15.67,15.66,16.14,15.29,13.18,15.46,13.95
15.47,17.74,11.02,11.79,15.35,15.07,16.26,13.76,13.02,15.67,13.11,13.25,14.39,35.37,13.44,14.33,14.35,12.45,12.06,15.62,15.26
16.33,13.25,12.66,12.43,11.99,11.47,11.26,12.37,12.45,15.14,14.58,19.27,15.25,26.26,14.64,14.17,14.78,14.56,17.33,21.91,18.13
16.23,11.57,13.0,14.06,12.37,35.1,56.34,22.2,64.54,36.81,13.11,32.17,39.43,42.56,15.45,12.88,14.84,14.73,16.9,17.84,14.16
13.11,13.91,12.65,15.18,13.4,15.48,15.49,13.58,12.04,12.78,15.67,29.08,14.22,9.63,11.64,14.2,16.03,14.17,11.38,12.35,11.19
12.47,12.24,13.44,11.88,12.41,13.43,12.99,15.34,12.82,17.73,17.51,14.14,16.78,37.27,15.83,15.76,16.38,15.24,17.56,18.34,14.71
12.79,13.93,13.89,12.95,11.87,11.91,11.25,11.4,11.76,14.75,18.98,15.08,19.73,31.15,14.04,14.32,13.29,14.32,14.89,15.61,14.97
12.8,11.96,11.5,10.72,13.09,13.02,13.05,15.51,13.72,11.73,14.56,16.29,12.89,66.24,14.49,14.5,14.11,13.97,13.92,12.11,12.83
11.09,11.68,12.21,12.5,12.56,14.4,11.99,14.04,13.73,11.94,15.19,14.6,15.04,9.65,11.88,12.26,11.15,11.59,10.82,14.57,11.52
12.7,10.96,11.29,10.92,11.04,11.58,12.14,12.21,12.13,12.72,16.9,13.01,11.47,13.31,13.2,11.67,12.09,12.69,12.47,12.81,15.14
9.42,11.1,11.5,12.93,12.59,11.8,9.55,12.56,12.48,10.49,13.11,12.29,12.59,12.92,10.95,11.56,13.46,11.75,10.69,12.33,11.54
9.97,12.87,12.74,12.27,11.73,11.76,12.78,11.31,13.85,13.23,13.05,10.11,12.62,11.27,10.83,9.88,11.46,11.28,9.9,9.29,9.14
8.67,11.8,13.94,12.06,11.79,11.04,10.85,11.7,10.65,10.99,9.55,10.78,11.57,9.56,10.35,10.57,9.42,10.0,9.47,9.95,10.25
8.46,10.5,13.35,10.43,9.42,9.1,11.91,11.7,9.05,16.63,12.17,14.29,14.25,10.86,9.7,11.2,9.93,10.4,8.76,9.82,10.4
10.35,10.45,12.93,13.81,7.87,11.99,13.62,12.73,11.39,11.55,11.77,13.65,9.48,12.49,9.91,11.06,9.6,9.61,9.24,8.83,8.65
9.68,10.4,10.34,9.21,12.3,9.81,8.19,10.42,11.4,9.36,8.95,8.91,10.77,12.05,9.73,9.18,9.55,9.06,9.46,9.19,8.79
8.4,9.68,8.41,7.89,9.25,12.06,12.67,10.74,11.81,11.73,11.29,12.08,9.7,9.49,9.47,9.32,10.05,9.21,8.74,9.05,10.56
